,IN,ConPr,p ConPr,CC AB,p CC AB,CC BC,p CC BC,CC CA,p CC CA,BC A,p BC A,BC B,p BC B,BC C,p BC C
0,InA,-0.450778824124856,5.176092843006855e-61,0.16568207144243002,7.996316290463437e-09,0.01837605202561427,0.5251518453402613,0.07104928169674368,0.013904961113083113,-0.3097478073987451,4.715395604733457e-28,-0.0928715602909697,0.00129049735217583,-0.06982818328707881,0.015634804605830218
1,InB,-0.43946985446864706,9.680080494725453e-58,0.09698811064731162,0.0007755162900019114,0.1505016762086151,1.662552064643234e-07,0.0045650609326101654,0.874580994218214,-0.1177138699643342,4.42132263249479e-05,-0.3060119184882804,2.1812112889320544e-27,-0.06823875320867087,0.018167952047782022
2,InC,-0.45578545928832853,1.6812319934439223e-62,0.02993808732802422,0.30049543872314777,0.16052230796607722,2.3171264946604305e-08,0.07814360541335522,0.00680924048288328,-0.1379999790725093,1.6312664746036085e-06,-0.11675435584348148,5.105155290040953e-05,-0.28936024075765154,1.5412828819936523e-24
3,InTT,-0.5762703031438214,6.080645906366414e-107,0.12037012657266223,2.9523096821524937e-05,0.13661236439223398,2.0770889622400754e-06,0.06719410658592395,0.02002213472907952,-0.2352752266482915,1.571172279521197e-16,-0.2152914623542592,4.9809345545347555e-14,-0.1745199082761472,1.1949149505608722e-09
