,RN,BC A,STD A,BC B,STD B,BC C,STD C
0,RN001,0.4083293782318125,0.004955185809774458,0.3474309708327163,0.003369769038240615,0.4401776672030715,0.006281711736290699
1,RN002,0.39529404536826956,0.0038727658463706526,0.36228127544178834,0.0019180745920122776,0.446341768409664,0.0048351216356469036
2,RN003,0.3717316419830965,0.002456259637944121,0.3999030688970833,0.0039833292243367105,0.46717841347151295,0.0012870869244836242
3,RN004,0.5129047138265659,0.00788430294339327,0.370611391367438,0.002823229149257322,0.40361918151019677,0.01223202328499592
4,RN005,0.5195306702256239,0.004674444363128047,0.4665355202242372,0.00785658953354374,0.3715049174812632,0.004745527780811608
5,RN006,0.40379382873336817,0.010420001901753554,0.48554943419688934,0.004021047407339152,0.3813511524522868,0.005090096335057705
6,RN007,0.41406201002985693,0.004839564241542066,0.4165461786484346,0.007033159973977138,0.43760187655818655,0.003984775250116113
7,RN008,0.44212287189534005,0.005007764587612744,0.4703736417474733,0.001502670421194083,0.3972422491195881,0.005270782989802123
8,RN009,0.36933052365594743,0.0018584552251961453,0.43030567052231233,0.006296559806400076,0.39646546643529595,0.004514993139868219
9,RN010,0.4496700197018028,0.0021682889069122983,0.3745235589496751,0.003238580840741088,0.45198811001586264,0.0051387153574771844
10,RN011,0.4398142740389468,0.006977112723283829,0.3476293013462763,0.002508033922599594,0.3838337980700846,0.0035395307144506036
11,RN012,0.470077548050938,0.0011844760067911241,0.422692709059935,0.002531841806702558,0.26031313993138805,0.003657129977097762
12,RN013,0.5091409766045313,0.0020131369164954763,0.41514963525331244,0.00822465542507716,0.4835676115745426,0.004482224419337019
13,RN014,0.35314533792833974,0.008133101617241425,0.3737988115100938,0.006160180632028184,0.4000644779197427,0.0049617646924609024
14,RN015,0.37453684660994785,0.004150232286823218,0.4305719850860803,0.004522903615652612,0.5081647548890956,0.008179659921267918
15,RN016,0.425001844288096,0.00646989876581385,0.5177590312080758,0.0014757803512236592,0.39257009080545213,0.006505010661567111
16,RN017,0.5001239073506132,0.013510036847796652,0.4055684516184583,0.002460542376655404,0.45910802268718065,0.004090927440442397
17,RN018,0.49737707868747033,0.0028636043674816754,0.3430823322478356,0.006505616379472562,0.5236434219146379,0.0027521354681269107
18,RN019,0.4684290291650364,0.001701111085916446,0.38993882622723103,0.007636992325562109,0.41029092753099344,0.0037038764992988185
19,RN020,0.3553202492273327,0.004768755846304673,0.40590735436812303,0.0068589741198954775,0.37342042336358977,0.0055532672739957815
20,RN021,0.49784823057424427,0.005316011914598318,0.4869473004340515,0.002840107294322248,0.3024386865037285,0.007886589857543818
21,RN022,0.3560150259036606,0.006887166236948266,0.3875284919578907,0.005168699129731,0.498542770245393,0.007871435113034389
22,RN023,0.5682021146040293,0.010112377004778569,0.3139584901315414,0.009262898625954958,0.43494722085742715,0.006584499012981794
23,RN024,0.4090111136945438,0.0028946348501555676,0.32012705921139073,0.002268166437935707,0.41743829939320926,0.0035328961833137064
24,RN025,0.4122473204312151,0.005572527501597591,0.40571924817256955,0.0027823638158002814,0.4284322963583229,0.0014710821683530623
25,RN026,0.37613894455431485,0.0013092638633183955,0.4526653027954502,0.003949551887988991,0.339143288382945,0.0036726054165301556
26,RN027,0.3994169730013735,0.005200784183118796,0.4244668399479563,0.00456423828678117,0.42313709383893433,0.006117648334810839
27,RN028,0.3134549806702656,0.0006698536392139731,0.34078328525795487,0.0028123358316966326,0.39534242151817894,0.0034024320447791274
28,RN029,0.39075595494990717,0.005970821837062307,0.4069822459269424,0.009173104739409603,0.38733520838199914,0.005366505683522448
29,RN030,0.40429028736339095,0.005312004391593644,0.40825169527286476,0.001902359769604684,0.4036564509885259,0.004305822072702369
30,RN031,0.41162877982940843,0.006252089248270565,0.4446893311384443,0.006351991389858752,0.4304526428446429,0.011402626042276022
31,RN032,0.37212723009431276,0.0017600366823090382,0.4210622595141155,0.0031064430040855925,0.3794765665654681,0.0035467593104907685
32,RN033,0.4031336057060553,0.008452117588930233,0.4411376910297446,0.0028856432856794144,0.4154298348869174,0.003416830970301361
33,RN034,0.31347485382059975,0.001377475756121001,0.3711233838307213,0.009405755913015873,0.4712256507768197,0.0041096183929887386
34,RN035,0.4011210030814972,0.0034844279444331138,0.43323989770662363,0.005923048648131383,0.5330265200736313,0.00844443406068134
35,RN036,0.40358930019411715,0.004981716142268235,0.4803540511598905,0.006105470019712511,0.3644463697886444,0.006424895324129767
36,RN037,0.4611747571645912,0.0036801529811499615,0.3997506886449804,0.007806754251193279,0.31010066788814483,0.007718260535518571
37,RN038,0.386078586145731,0.0055332597228908145,0.5142018177404464,0.010301810117970453,0.40053064545062916,0.0017097478849397792
38,RN039,0.4431150285549032,0.006792306609404768,0.4357227767897925,0.012608920483182637,0.3282439724664562,0.006061176510116891
39,RN040,0.41644387168954883,0.0016124287775374972,0.4282026537790011,0.004184903352885673,0.4733605908228912,0.00648754276790654
40,RN041,0.454771112311424,0.0018344283903391778,0.48152988498360666,0.010148699385666487,0.3548985228330561,0.005540902449727314
