,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,2,3,2,7,4,4
1,RN002,2,3,2,6,3,3
2,RN003,2,2,3,3,1,5
3,RN004,3,2,0,5,2,3
4,RN005,1,3,0,4,2,8
5,RN006,4,3,1,6,3,4
6,RN007,3,3,2,4,2,4
7,RN008,3,2,1,4,2,5
8,RN009,3,3,4,3,2,3
9,RN010,2,4,2,6,0,4
10,RN011,1,5,0,6,1,3
11,RN012,3,3,2,6,1,5
12,RN013,3,6,3,2,3,3
13,RN014,1,4,1,2,2,3
14,RN015,1,5,3,6,4,3
15,RN016,1,4,3,4,5,3
16,RN017,1,3,3,2,3,2
17,RN018,0,4,1,4,1,5
18,RN019,3,4,2,5,0,8
19,RN020,4,4,3,2,0,4
20,RN021,1,6,2,6,3,4
21,RN022,2,6,0,4,2,4
22,RN023,2,5,3,4,1,5
23,RN024,1,3,2,3,1,4
24,RN025,1,4,3,5,4,2
25,RN026,2,6,3,2,1,2
26,RN027,2,4,2,4,3,4
27,RN028,0,4,4,4,1,5
28,RN029,1,6,1,2,4,4
29,RN030,4,3,0,2,0,5
30,RN031,1,4,0,5,0,4
31,RN032,5,2,1,7,2,4
32,RN033,4,4,3,7,3,3
33,RN034,3,4,3,2,0,5
34,RN035,2,2,3,6,3,5
35,RN036,2,4,4,4,1,6
36,RN037,4,4,2,4,2,5
37,RN038,1,4,2,5,0,7
38,RN039,1,7,2,4,3,4
39,RN040,2,3,5,4,2,2
40,RN041,4,4,0,6,1,2
41,RN042,1,3,2,6,1,5
42,RN043,2,4,0,3,0,5
43,RN044,1,4,4,3,3,4
44,RN045,2,3,3,7,1,3
45,RN046,2,4,4,3,1,3
46,RN047,5,4,1,2,1,4
47,RN048,3,5,3,7,0,5
48,RN049,4,4,1,5,2,3
49,RN050,2,3,3,3,5,2
50,RN051,2,3,5,4,1,5
51,RN052,2,3,0,2,3,5
52,RN053,4,5,3,4,0,2
53,RN054,2,3,2,6,2,4
54,RN055,0,4,4,5,1,3
55,RN056,0,3,4,3,0,5
56,RN057,1,5,3,4,4,3
57,RN058,3,5,4,4,2,5
58,RN059,3,2,3,3,4,4
59,RN060,2,3,2,4,1,3
60,RN061,1,5,0,5,2,4
61,RN062,1,2,4,3,2,5
62,RN063,1,4,2,5,1,4
63,RN064,1,5,3,3,2,3
64,RN065,2,6,2,4,1,4
65,RN066,4,4,1,5,3,4
66,RN067,2,2,3,4,2,5
67,RN068,0,4,2,3,2,4
68,RN069,2,3,1,5,1,5
69,RN070,1,3,1,4,1,4
70,RN071,1,6,1,7,2,4
71,RN072,1,4,3,3,2,4
72,RN073,3,5,3,6,2,5
73,RN074,1,4,2,4,1,7
74,RN075,2,4,2,5,0,5
75,RN076,2,3,1,5,2,6
76,RN077,0,4,2,8,0,6
77,RN078,3,4,1,5,3,4
78,RN079,1,3,3,5,2,5
79,RN080,1,2,2,4,4,3
80,RN081,2,5,2,4,1,6
81,RN082,3,3,2,8,3,3
82,RN083,0,5,1,9,2,6
83,RN084,0,5,2,3,1,4
84,RN085,3,3,3,4,1,2
85,RN086,2,5,1,4,4,5
86,RN087,2,2,3,4,3,3
87,RN088,2,8,2,3,2,5
88,RN089,3,4,4,3,2,4
89,RN090,2,4,4,4,2,5
90,RN091,1,5,5,3,4,3
91,RN092,4,3,0,5,1,3
92,RN093,2,3,2,6,2,5
93,RN094,1,5,2,3,1,5
94,RN095,5,2,0,6,1,4
95,RN096,1,7,0,3,2,4
96,RN097,0,5,5,3,3,4
97,RN098,0,4,3,3,1,5
98,RN099,2,4,1,5,3,5
99,RN100,2,4,2,4,1,5
