,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,6,4,0,5,2,2
1,RN002,3,2,7,3,0,5
2,RN003,2,6,2,3,5,4
3,RN004,3,4,1,6,1,4
4,RN005,3,2,4,5,2,3
5,RN006,1,4,0,6,1,5
6,RN007,2,7,3,3,0,5
7,RN008,3,6,5,4,2,6
8,RN009,2,4,2,2,6,4
9,RN010,2,6,1,5,1,4
10,RN011,2,4,4,2,2,3
11,RN012,4,3,1,3,1,4
12,RN013,1,5,2,3,2,4
13,RN014,3,4,2,5,2,5
14,RN015,2,5,3,3,4,3
15,RN016,1,3,2,6,1,2
16,RN017,1,4,1,3,2,7
17,RN018,1,3,2,4,3,3
18,RN019,1,4,3,4,1,4
19,RN020,2,4,4,3,2,5
20,RN021,2,5,3,6,3,3
21,RN022,4,3,2,6,2,5
22,RN023,1,4,5,4,0,5
23,RN024,2,5,1,7,2,6
24,RN025,1,3,2,5,2,3
25,RN026,3,5,4,3,4,5
26,RN027,0,6,2,8,2,4
27,RN028,5,3,1,4,3,5
28,RN029,1,4,4,3,0,4
29,RN030,5,4,0,6,2,4
30,RN031,2,4,1,4,2,5
31,RN032,1,3,2,4,3,5
32,RN033,3,2,2,4,0,6
33,RN034,1,2,2,6,4,5
34,RN035,1,7,1,7,2,4
35,RN036,1,9,4,2,2,3
36,RN037,1,3,4,6,3,4
37,RN038,2,4,4,3,0,4
38,RN039,2,3,2,3,3,2
39,RN040,1,5,1,6,3,5
40,RN041,3,3,2,3,3,4
41,RN042,2,5,3,5,1,7
42,RN043,0,4,5,5,3,4
43,RN044,3,7,2,3,1,5
44,RN045,3,3,4,2,6,3
45,RN046,2,3,1,4,1,3
46,RN047,3,3,0,4,0,2
47,RN048,3,4,4,3,4,3
48,RN049,5,4,3,3,2,6
49,RN050,1,3,1,5,2,4
50,RN051,3,5,1,6,1,2
51,RN052,5,4,3,3,4,3
52,RN053,2,6,1,4,1,8
53,RN054,3,4,4,5,2,2
54,RN055,2,6,2,5,3,6
55,RN056,2,5,1,3,4,2
56,RN057,2,5,1,5,2,3
57,RN058,0,5,2,5,0,4
58,RN059,1,5,3,5,1,5
59,RN060,1,4,1,4,3,4
60,RN061,1,3,5,3,1,3
61,RN062,4,3,3,5,2,6
62,RN063,4,3,1,5,2,4
63,RN064,3,6,1,5,4,2
64,RN065,4,4,1,5,3,3
65,RN066,5,4,3,4,0,3
66,RN067,0,5,2,2,1,7
67,RN068,4,4,3,4,1,5
68,RN069,2,6,4,2,1,5
69,RN070,2,4,2,4,1,3
70,RN071,3,4,0,5,1,8
71,RN072,2,5,4,3,1,5
72,RN073,6,5,3,5,0,6
73,RN074,2,6,3,3,3,3
74,RN075,1,4,3,3,1,4
75,RN076,2,3,4,3,3,3
76,RN077,2,5,0,7,2,3
77,RN078,4,3,3,4,2,6
78,RN079,4,3,3,6,2,5
79,RN080,2,4,5,4,3,5
80,RN081,1,5,3,5,4,3
81,RN082,4,4,2,3,3,4
82,RN083,3,2,0,4,1,3
83,RN084,2,3,1,6,1,3
84,RN085,4,2,2,3,1,4
85,RN086,3,4,3,7,2,5
86,RN087,1,2,5,4,2,2
87,RN088,2,5,2,4,3,5
88,RN089,5,4,1,3,3,5
89,RN090,2,2,9,4,2,3
90,RN091,1,6,2,2,1,5
91,RN092,1,2,1,4,5,3
92,RN093,4,2,3,6,3,3
93,RN094,1,4,3,4,2,8
94,RN095,2,3,2,7,5,3
95,RN096,2,6,3,2,1,5
96,RN097,3,3,2,4,1,5
97,RN098,1,6,2,4,3,6
98,RN099,3,7,2,4,1,4
99,RN100,2,3,1,5,3,2
