,RN,CC AB,STD AB,CC AC,STD AC,CC BC,STD BC
0,RN001,-0.722233532510182,0.0015783467512696593,0.2272014381804621,0.007036394577768073,-0.4389967611517762,0.00778432916058249
1,RN002,-0.25733713171439326,0.010961347993537415,-0.5110433052118576,0.008059110527088647,-0.3649840577360844,0.0033275131903585738
2,RN003,-0.5478797019556553,0.004388368412981752,-0.08276638607769654,0.012009233069689332,-0.3866304732813471,0.00211065592229881
3,RN004,-0.6963929066153284,0.00584799166810423,-0.12450179717314402,0.006672067203786753,-0.004082370942507867,0.004731964527189773
4,RN005,-0.15931214537631652,0.010940952321609104,0.0022557588880663328,0.010955986536445785,-0.1234709742753806,0.017341614330846463
5,RN006,-0.49384499526373177,0.01042473482945685,-0.416498565598288,0.006816014091344004,-0.12578368093786657,0.004427171246060298
6,RN007,-0.06879317746605951,0.0043431467029597945,-0.32068593597204126,0.00030720053823231374,-0.6472181957282471,0.0060815138112348885
7,RN008,0.37433253501540564,0.005465980374453653,-0.47413382956697586,0.0032918055763568456,-0.7186674453506336,0.007382047231337728
8,RN009,-0.4684742680855815,0.0017435428614376947,-0.21020000320920887,0.007933031792011335,0.25903665419857475,0.005422059034087533
9,RN010,0.04158151633656403,0.010878139074863952,-0.477122782031951,0.007387309053489197,-0.5383225052088488,0.008922823793786215
10,RN011,0.08223855215459903,0.003710723460665559,-0.4649896840021659,0.004620048972761474,-0.3849127750658847,0.00801732223386882
11,RN012,-0.5364509555154405,0.008539404471183478,-0.24711520513150056,0.006150566764691307,-0.39597481233795956,0.00524772485778429
12,RN013,0.031204587090887068,0.008729869162632896,-0.4282921906884452,0.005728904286132611,-0.6760974959089969,0.0071404203967883485
13,RN014,-0.7433828748420819,0.004410329514743276,-0.2578788619478174,0.010976531319725702,0.05783381996182077,0.010646852775270756
14,RN015,-0.272823718441687,0.017383254030196783,-0.07644822677840557,0.009896889774813426,0.015590639884792666,0.013923967931895943
15,RN016,-0.39970933127356095,0.004190091733137025,-0.4114202534323541,0.0012548640235374438,-0.33832878244512393,0.0026795939450977154
16,RN017,-0.4129170890188197,0.006522673367000419,-0.10319529153657274,0.006767291305168885,-0.43988864547076006,0.009293874926171362
17,RN018,-0.17763518343195686,0.006119955284836159,-0.5052296544975519,0.005202225044949018,-0.14346194469157436,0.003893335339198134
18,RN019,-0.32375054158480177,0.00987422580828169,-0.6125012138463506,0.0033482923617270395,-0.1408144523571776,0.00897966119028351
19,RN020,-0.48372746441739384,0.00969561822456028,0.018137551541130198,0.009936065208831559,-0.5991130847690637,0.004724779720858831
20,RN021,-0.6074002385422373,0.004297267005858957,-0.1396515463651829,0.010944581292419094,-0.1957090400514109,0.012519904736144888
21,RN022,-0.6764254385950226,0.005729593253879473,0.31098409986144165,0.0015187692340815433,-0.6746424095225381,0.004615619174144683
22,RN023,0.5288212505663515,0.009676486527596761,-0.8164244067298934,0.004022749718293344,-0.7315702061256327,0.005035309019003463
23,RN024,0.14738068298804063,0.013004791045116475,-0.6198302326924403,0.004586813008057256,-0.4483968944325079,0.005460784532377682
24,RN025,-0.17442246870536038,0.010074059858381668,-0.3833510395518443,0.0068231940696727575,-0.5181828486777817,0.009306435293955055
25,RN026,-0.09119803986901014,0.003753755915634674,-0.2513856167399268,0.006055185900130895,-0.6357006108448406,0.0008418120512256662
26,RN027,-0.5024526904080059,0.005778386206142951,-0.5817263855791388,0.0028692072461784534,0.06357247719400737,0.003289097506701775
27,RN028,-0.2843478860478879,0.006927766899121748,0.3335277153759462,0.011926135157888547,-0.5469644497236673,0.01421391049869661
28,RN029,0.0606934792329038,0.007111313937900673,-0.7775323008910519,0.004456271223521713,-0.3587484921858002,0.009658347868578833
29,RN030,-0.48819297566561387,0.004668034438863699,0.029859718590471134,0.011068219389326964,-0.43503853891000527,0.006145459974119498
30,RN031,-0.1727359817642419,0.008718159865321632,-0.49861398618701386,0.009336202758572403,-0.4216395245785736,0.00606568353418699
31,RN032,-0.6572517032556209,0.0023849614398408553,-0.35071069375449276,0.016875927905313646,-0.10445285302715968,0.011386680539236044
32,RN033,-0.09727457323703691,0.018016263569483958,-0.2563529797050847,0.011060261112499789,-0.7446106546000922,0.002446276259868189
33,RN034,-0.6860058188987942,0.004375920802912334,-0.04930490294384166,0.0021572128524957,-0.15559118644155226,0.00626089078274528
34,RN035,-0.06012484988580544,0.011483661750789914,-0.6570043725207307,0.002646257448611322,-0.16440352562629956,0.01225398903723784
35,RN036,-0.7856238356686446,0.004504933290677022,-0.4113499808079753,0.0023657398991775644,0.14002446150463832,0.00679877127320821
36,RN037,-0.300311289317892,0.010023241379705469,-0.34180695841591296,0.003793503009554953,-0.49941748659423085,0.006889217317708668
37,RN038,-0.15589634433544736,0.005641931849818816,-0.11962317745532387,0.007612619204085749,-0.7290969934302604,0.0018161110843344687
38,RN039,-0.5270144029490328,0.0005222169030006879,-0.3677597716933569,0.010696918028972066,0.048339609939941665,0.005456416048365488
39,RN040,-0.22078900399061255,0.012936384324341601,-0.5151114260609827,0.009121776284982713,-0.07848566469921815,0.012424288804909443
40,RN041,-0.6059417685131501,0.004621080793629695,0.05097979065609084,0.011658975438554757,-0.31331136964874795,0.005222223920618652
41,RN042,-0.342729109432563,0.0013391638508116494,-0.33603978749926405,0.003739099150893029,-0.027508281992132202,0.013136455112442246
42,RN043,-0.46805681000628446,0.0025867850963633148,-0.3060739463412084,0.006659181198280623,0.12216106215539176,0.006048682230686359
43,RN044,-0.29570168909046385,0.010328206063810078,-0.4922830843228338,0.001157766543003255,-0.2458829933528249,0.0069995602153634495
44,RN045,-0.4735118025357965,0.009987589308594783,0.02987231403859353,0.005611154764070307,-0.30445696680727347,0.01018715052676214
45,RN046,-0.3942994018953103,0.0015197076768206697,-0.3198487478372429,0.005713875572780425,-0.4849508478098834,0.005152628594069619
46,RN047,-0.47744192299011773,0.003554326259269711,-0.37703831685357886,0.0028398324236776503,-0.32789874733788404,0.007648953437288762
47,RN048,-0.5230592974276752,0.007757138242277724,-0.2930463772632415,0.012186945426982879,-0.024359157536072568,0.007252096002057882
48,RN049,-0.4237061614409962,0.007229146541266355,0.0939978668562294,0.004762371670424089,-0.5963501288465286,0.006758319159570171
49,RN050,-0.4672173681009626,0.0023177787071929157,-0.34842863073161134,0.00489092770135441,-0.3547850656110166,0.006639403896781714
50,RN051,0.2704192956145726,0.00730490114646466,-0.5982129668598655,0.004013541904987509,-0.5698713388614443,0.008347163006311798
51,RN052,-0.5846112796300854,0.004619534849389726,-0.5071458549917933,0.016505096696173078,0.18147654459740467,0.013402679509590402
52,RN053,-0.45617093691174887,0.008524108187189995,-0.5363875992604307,0.012256585594614075,0.0039719612862135325,0.0059184125740843275
53,RN054,0.29328753174667954,0.0018530888545226238,-0.44962576170819374,0.004708705963046535,-0.36791114567941613,0.011011423923876325
54,RN055,-0.3414727863258032,0.014420390831387192,-0.5902625244648944,0.002684848372942071,-0.0063188731494498,0.0010677670420172955
55,RN056,-0.7915323090601852,0.002167036881211923,-0.005644961087897801,0.0026725143732238992,-0.2678688171034896,0.002175600629773626
56,RN057,-0.134114118392009,0.006772485698056661,-0.41416963395752066,0.005852932506926103,-0.6020678342469838,0.0061417996539937
57,RN058,-0.6417681763351185,0.0005610180551832528,-0.07114402191210206,0.0022939669779379235,-0.39439851359173944,0.002764029130127922
58,RN059,-0.5043442417048719,0.005677719379437111,0.1074494461902711,0.01094968541485927,-0.7135591777247936,0.003008929028776381
59,RN060,0.16870616716845324,0.005440885200255321,-0.6458706357869474,0.0015754266621026167,-0.5534663305610638,0.0034493714617244435
60,RN061,-0.06811950057071932,0.004194955617846064,-0.5884212948558946,0.0076448539613440634,-0.3671039813719001,0.007922454551276527
61,RN062,0.25488454466867205,0.005747562428833816,-0.43747385972622,0.006117283466799779,-0.587427960275961,0.004884974422903297
62,RN063,-0.4896123598921176,0.006486682909474562,0.35473520076979964,0.003195399016655536,-0.6321276348889451,0.004031130420646728
63,RN064,0.2698695747623585,0.009271548492422082,-0.3948682927460199,0.011226687555289742,-0.646974216849248,0.0009017385052158092
