,InA,InB,InC,ConPr,STD ConPr,CC AB,STD CC AB,CC BC,STD CC BC,CC AC,STD CC AC
147,6,6,5,0.473,0.023,-0.305,0.25,-0.163,0.136,-0.478,0.076
148,6,6,6,0.488,0.031,-0.191,0.307,-0.285,0.249,-0.425,0.197
149,6,6,7,0.478,0.037,-0.446,0.114,-0.445,0.114,-0.122,0.076
150,6,7,3,0.474,0.0,0.08,0.0,-0.659,0.0,-0.466,0.0
151,6,7,4,0.459,0.014,-0.213,0.336,-0.532,0.141,-0.272,0.234
152,6,7,5,0.488,0.032,-0.139,0.263,-0.32,0.344,-0.44,0.107
153,6,7,6,0.483,0.015,-0.026,0.242,-0.49,0.161,-0.373,0.202
154,6,7,7,0.475,0.025,-0.398,0.142,-0.261,0.257,-0.324,0.255
155,7,2,4,0.65,0.0,-0.351,0.0,-0.266,0.0,-0.579,0.0
156,7,2,5,0.555,0.0,0.015,0.0,-0.415,0.0,-0.69,0.0
157,7,2,6,0.497,0.0,-0.265,0.0,-0.555,0.0,-0.313,0.0
158,7,3,3,0.51,0.04,-0.139,0.278,-0.501,0.203,-0.487,0.06
159,7,3,4,0.495,0.04,-0.328,0.132,-0.351,0.138,-0.443,0.172
160,7,3,5,0.543,0.0,-0.204,0.0,-0.356,0.0,-0.569,0.0
161,7,3,6,0.513,0.028,-0.461,0.104,-0.224,0.111,-0.337,0.065
162,7,4,4,0.507,0.03,-0.082,0.166,-0.478,0.147,-0.462,0.214
163,7,4,5,0.518,0.061,-0.254,0.424,-0.337,0.277,-0.471,0.171
164,7,4,6,0.519,0.03,-0.418,0.372,-0.279,0.3,-0.384,0.295
165,7,4,7,0.532,0.046,-0.227,0.159,-0.406,0.149,-0.384,0.083
166,7,5,2,0.555,0.0,-0.342,0.0,-0.45,0.0,-0.409,0.0
167,7,5,3,0.586,0.0,-0.754,0.0,-0.039,0.0,-0.334,0.0
168,7,5,4,0.511,0.038,-0.485,0.052,-0.428,0.243,-0.097,0.247
169,7,5,5,0.464,0.009,-0.057,0.505,-0.47,0.286,-0.374,0.444
170,7,5,6,0.517,0.019,-0.256,0.075,-0.374,0.089,-0.358,0.067
171,7,6,2,0.615,0.0,-0.449,0.0,-0.55,0.0,-0.089,0.0
172,7,6,3,0.454,0.0,0.051,0.0,-0.492,0.0,-0.425,0.0
173,7,6,5,0.505,0.029,-0.234,0.321,-0.562,0.061,-0.256,0.325
174,7,6,6,0.509,0.025,-0.407,0.095,-0.511,0.102,-0.081,0.331
175,7,6,7,0.463,0.057,-0.329,0.258,-0.08,0.161,-0.413,0.259
176,7,7,5,0.442,0.04,-0.6,0.097,-0.103,0.099,-0.133,0.009
177,7,7,6,0.492,0.038,-0.326,0.21,-0.251,0.228,-0.295,0.157
178,7,7,7,0.464,0.034,-0.397,0.346,-0.158,0.249,-0.229,0.067
