RN,ConPr
RN001,0.547905427905428
RN002,0.4623769502228826
RN003,0.5693318365140743
RN004,0.560617335397071
RN005,0.5428356033572901
RN006,0.5216681949720737
RN007,0.5828354155350353
RN008,0.5578764241693767
RN009,0.5249785723031714
RN010,0.47923097908021883
RN011,0.6344946098308772
RN012,0.49494964091152116
RN013,0.55277357783912
RN014,0.5443742021761595
RN015,0.5830514988470408
RN016,0.54821531772023
RN017,0.538372040989842
RN018,0.4950181260147232
RN019,0.5357629281300627
RN020,0.5690217234515189
RN021,0.5500272805217075
RN022,0.5264423632789917
RN023,0.5505608511457731
RN024,0.5211706102117061
RN025,0.5166121480341223
RN026,0.5134247905170652
RN027,0.529829851389188
RN028,0.5035342082408569
RN029,0.5262482862323647
RN030,0.5704356068085779
RN031,0.5401442715331133
RN032,0.6463200909611619
RN033,0.6302837078944352
RN034,0.48216182442986566
RN035,0.47748800590478535
RN036,0.5613583372670186
RN037,0.592944192914983
RN038,0.6054384188073535
RN039,0.5981083224831261
RN040,0.569512777980826
RN041,0.49291946462016356
RN042,0.5510688836104513
RN043,0.5050378956754347
RN044,0.5624824901576254
RN045,0.6549830516711417
RN046,0.6329690346083788
RN047,0.5119536520973893
RN048,0.5423375715706567
RN049,0.5211333203958859
RN050,0.45785475604645914
RN051,0.6141283292978208
RN052,0.5301504545394398
RN053,0.49880994618887115
RN054,0.5039585541543187
RN055,0.7030681870928811
RN056,0.52779284164859
RN057,0.5232325947544257
RN058,0.47603898655242777
RN059,0.5187272851950901
RN060,0.5103285014755002
RN061,0.4909870735660355
RN062,0.4531695156695157
RN063,0.5320214720404179
RN064,0.4488825573693141
RN065,0.5103250800067374
RN066,0.511819473413742
RN067,0.633565728478857
RN068,0.5448507579309267
RN069,0.542986840295291
RN070,0.5271651190250587
RN071,0.45813143971038706
RN072,0.585827295087416
RN073,0.49492467603171986
RN074,0.5426730567810328
RN075,0.5788773850404069
RN076,0.5636772774392557
RN077,0.5703450556719215
RN078,0.5952083196208781
RN079,0.5456619526876153
RN080,0.43121973827034016
RN081,0.6000661992597719
RN082,0.50770897443949
RN083,0.5173082313370083
RN084,0.5613721346122582
RN085,0.5768739298218712
RN086,0.5927482306411324
RN087,0.5319606087735005
RN088,0.6339109350050269
RN089,0.6418687828322343
RN090,0.5099233417787306
RN091,0.4923032416218768
RN092,0.5986886907495684
RN093,0.5450892819380652
RN094,0.5758534865988577
RN095,0.5380897256239973
RN096,0.6142926244505668
RN097,0.5419400602943785
RN098,0.645283841010907
RN099,0.5959909443919699
RN100,0.5081807004823303
