,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,5,6,9,6,8,6,27310,27258,54568,18831,18773,37604
1,5,6,8,5,6,6,38238,38756,76994,25231,25547,50778
2,4,6,6,5,6,6,31508,31320,62828,20175,20121,40296
3,5,5,5,6,5,6,37669,37157,74826,24225,23843,48068
4,4,5,4,8,10,5,44400,44428,88828,28122,28119,56241
5,7,5,7,8,7,5,21519,21420,42939,14611,14510,29121
6,6,5,6,5,6,8,30887,30955,61842,19951,19970,39921
7,5,4,5,7,7,7,24872,24902,49774,15653,15744,31397
8,6,7,7,5,5,6,32650,32239,64889,21433,21174,42607
9,6,7,8,8,4,8,16844,16676,33520,11904,11809,23713
10,6,3,6,8,4,6,30699,30324,61023,19865,19596,39461
11,6,5,8,6,6,7,27581,27691,55272,19026,19161,38187
12,9,5,5,7,6,7,43939,43979,87918,30935,30852,61787
13,5,5,3,4,5,5,23677,23665,47342,13799,13829,27628
14,6,7,9,5,7,5,36764,36542,73306,25437,25445,50882
15,5,9,7,4,8,5,21685,21655,43340,15183,15224,30407
16,4,7,5,9,5,6,30121,30100,60221,20421,20237,40658
17,4,5,5,8,6,5,43996,43966,87962,27171,26993,54164
18,7,7,7,5,8,3,18248,18243,36491,12381,12485,24866
19,8,8,5,6,4,5,19741,19768,39509,12623,12690,25313
20,7,8,8,4,7,6,24728,24650,49378,17356,17258,34614
21,8,6,4,6,6,7,20109,20051,40160,13933,13877,27810
22,7,7,7,8,6,6,26662,26643,53305,19491,19544,39035
23,4,7,5,7,5,9,15106,15141,30247,9886,9889,19775
24,5,5,8,7,6,4,25683,25777,51460,16741,16696,33437
25,8,5,5,7,3,6,24587,24298,48885,15216,14867,30083
26,6,6,6,8,7,7,30141,30003,60144,21419,21281,42700
27,4,9,8,8,6,5,21910,21745,43655,15337,15259,30596
28,7,6,3,7,8,4,30615,30448,61063,20145,20034,40179
29,7,6,2,7,5,6,16392,16288,32680,9641,9492,19133
30,5,8,5,5,4,7,23799,23831,47630,15944,16251,32195
31,7,3,8,5,6,7,26845,26836,53681,18094,18075,36169
32,8,7,10,6,6,6,16178,16312,32490,12162,12330,24492
33,7,3,5,8,5,6,37783,37564,75347,24196,24009,48205
34,4,6,9,7,8,6,19319,19353,38672,13631,13610,27241
