,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,3,4,3,3,5,3,36,25,61,17,14,31
1,7,4,3,3,4,3,41,42,83,23,24,47
2,4,3,4,4,2,4,13,11,24,7,6,13
3,4,4,3,3,5,3,24,23,47,11,16,27
4,3,5,5,3,4,3,55,67,122,31,37,68
5,4,3,2,5,3,4,16,19,35,10,10,20
6,3,3,3,3,3,4,31,28,59,15,18,33
7,3,3,4,3,8,4,21,18,39,11,10,21
8,3,3,3,3,5,3,7,6,13,2,4,6
9,7,4,3,4,3,3,17,17,34,5,12,17
10,4,4,3,4,3,3,37,32,69,19,20,39
11,5,4,2,5,2,5,19,18,37,8,10,18
12,4,3,3,5,5,4,38,37,75,16,24,40
13,4,3,4,3,3,4,13,12,25,4,9,13
14,2,6,3,4,4,4,17,14,31,7,9,16
15,5,4,2,4,4,3,43,40,83,22,29,51
16,5,3,4,4,2,4,28,30,58,12,18,30
17,3,3,3,4,2,4,18,15,33,9,8,17
18,4,3,4,3,5,3,20,19,39,10,10,20
19,2,3,4,3,3,4,19,18,37,9,9,18
20,5,3,2,3,4,4,8,7,15,4,3,7
21,3,3,4,3,4,3,45,52,97,22,28,50
22,5,3,4,4,3,5,18,15,33,8,11,19
23,4,3,5,3,3,4,11,10,21,3,7,10
24,6,4,3,4,3,4,16,15,31,6,9,15
25,2,4,2,3,4,4,26,25,51,11,14,25
26,3,3,3,3,3,4,18,20,38,7,15,22
27,3,3,3,4,4,3,42,41,83,19,23,42
28,2,3,2,4,4,4,19,18,37,7,11,18
29,3,4,4,6,4,4,16,17,33,8,11,19
30,5,3,2,5,3,3,21,18,39,9,12,21
31,3,3,3,3,3,6,39,37,76,28,15,43
32,4,4,3,3,4,3,7,6,13,2,4,6
33,2,4,4,4,4,3,57,56,113,30,29,59
34,5,3,2,3,5,3,12,10,22,6,4,10
35,5,3,2,4,3,3,56,56,112,23,34,57
36,3,3,6,3,3,3,26,23,49,11,15,26
37,4,4,3,3,3,4,26,27,53,12,14,26
38,3,4,5,3,3,3,15,14,29,8,6,14
39,3,4,2,4,6,4,22,21,43,8,13,21
40,5,4,3,3,4,4,5,4,9,0,4,4
41,3,5,5,3,2,3,38,39,77,18,20,38
42,4,3,4,4,3,4,21,21,42,9,12,21
43,5,4,4,5,2,4,7,6,13,4,2,6
44,5,3,3,3,2,4,29,33,62,11,19,30
45,4,3,3,3,3,4,32,29,61,12,19,31
46,2,3,5,3,3,5,31,31,62,15,17,32
47,4,3,2,4,3,3,22,19,41,13,10,23
48,3,4,2,4,2,4,27,26,53,18,8,26
49,4,3,5,3,4,3,40,40,80,23,22,45
50,3,3,2,4,5,3,18,18,36,10,9,19
51,4,4,2,4,3,3,23,20,43,11,13,24
52,2,4,3,3,4,3,10,9,19,2,7,9
53,2,5,4,3,2,4,16,15,31,4,11,15
54,2,3,4,3,3,3,14,13,27,7,6,13
55,4,4,4,4,2,5,30,35,65,20,17,37
56,2,3,2,3,5,4,5,4,9,1,3,4
57,3,4,2,3,4,4,10,9,19,4,5,9
58,3,3,3,6,4,4,47,38,85,25,19,44
59,3,4,4,3,3,3,18,17,35,9,8,17
60,3,4,4,4,5,4,33,21,54,24,12,36
61,2,4,4,3,5,3,39,36,75,17,23,40
62,2,3,6,3,4,4,8,10,18,0,10,10
63,4,3,2,4,2,3,25,24,49,13,11,24
64,3,3,4,4,5,3,40,38,78,21,22,43
65,4,4,4,3,3,4,14,15,29,7,8,15
66,4,3,4,3,3,3,24,22,46,12,12,24
67,2,3,3,3,4,4,9,9,18,4,4,8
68,3,5,3,6,3,3,22,23,45,10,12,22
69,4,3,3,5,3,3,35,36,71,17,23,40
70,5,3,3,4,3,3,7,6,13,3,3,6
71,5,3,3,4,3,3,29,22,51,15,12,27
72,2,3,5,3,3,3,14,8,22,6,3,9
73,3,4,3,3,2,4,14,12,26,7,6,13
74,4,5,4,4,3,4,14,13,27,6,8,14
75,3,3,5,3,2,3,12,11,23,6,5,11
76,2,4,2,3,4,4,13,12,25,6,6,12
77,4,3,6,3,4,3,19,17,36,11,7,18
78,3,3,3,4,4,3,20,18,38,9,11,20
79,5,3,5,3,4,4,10,9,19,4,7,11
80,3,3,5,3,3,4,14,13,27,7,7,14
81,4,4,3,6,4,3,21,20,41,10,10,20
82,4,4,3,3,3,5,9,7,16,4,4,8
83,4,3,5,6,4,3,23,25,48,10,17,27
84,3,3,4,3,3,4,25,25,50,12,17,29
85,2,3,3,3,3,3,14,22,36,5,11,16
86,4,3,3,3,4,3,21,16,37,9,9,18
87,2,3,3,3,3,4,20,19,39,8,11,19
88,6,4,4,6,3,3,32,27,59,18,16,34
89,3,5,2,5,2,4,5,4,9,1,3,4
90,3,3,5,3,3,5,16,16,32,8,7,15
91,4,4,2,3,3,3,16,11,27,7,8,15
92,4,4,2,3,3,4,33,32,65,14,18,32
93,5,4,3,4,5,3,17,17,34,9,11,20
94,5,3,2,4,3,6,10,9,19,3,6,9
95,2,6,5,5,3,3,17,20,37,4,16,20
96,3,3,3,3,6,5,20,21,41,8,13,21
97,5,3,2,3,4,5,38,27,65,12,19,31
98,4,4,2,3,3,3,20,20,40,8,10,18
99,2,4,3,5,4,3,22,21,43,8,13,21
