,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,2,4,4,3,3,3,5,4,9,0,4,4
1,2,4,2,3,4,3,6,5,11,1,4,5
2,2,3,3,3,5,4,8,7,15,3,4,7
3,3,3,3,3,2,3,4,3,7,0,3,3
4,3,3,3,3,4,3,6,7,13,2,4,6
5,2,4,4,3,3,3,6,5,11,1,4,5
6,3,3,3,3,2,4,11,9,20,7,3,10
7,3,3,3,3,2,3,7,6,13,3,3,6
8,2,3,4,3,4,3,7,6,13,3,3,6
9,2,3,4,3,3,4,6,5,11,1,4,5
10,3,4,3,3,5,3,6,7,13,2,4,6
11,2,3,3,3,2,4,3,2,5,0,2,2
12,3,3,3,3,3,3,9,7,16,4,4,8
13,2,3,4,3,2,3,5,4,9,1,3,4
14,3,4,3,4,5,3,8,5,13,3,4,7
15,3,3,3,3,3,3,7,9,16,3,5,8
16,4,4,3,3,3,3,5,4,9,0,4,4
17,3,3,3,3,4,3,5,4,9,0,4,4
18,2,4,4,3,3,3,6,4,10,2,3,5
19,4,3,3,4,2,3,5,4,9,1,3,4
20,5,3,2,3,2,3,6,5,11,3,2,5
21,3,3,3,3,4,3,5,5,10,0,5,5
22,2,3,2,3,4,3,6,5,11,2,3,5
23,4,3,3,3,2,3,6,4,10,2,3,5
24,3,4,2,3,4,3,5,4,9,1,3,4
25,2,3,2,3,4,3,7,6,13,2,4,6
26,2,3,4,3,2,3,7,6,13,2,4,6
27,3,3,2,3,3,4,3,2,5,0,2,2
28,2,3,4,3,3,4,4,3,7,0,3,3
29,3,4,2,4,2,3,6,5,11,1,4,5
30,2,3,3,3,3,3,8,5,13,3,3,6
31,2,4,5,3,4,3,8,6,14,3,4,7
32,4,3,2,3,3,3,7,5,12,2,4,6
33,4,3,2,3,4,3,6,5,11,2,3,5
34,2,3,4,3,3,3,10,8,18,2,7,9
35,2,3,2,3,3,3,7,6,13,0,6,6
36,2,4,2,4,2,3,3,2,5,0,2,2
37,3,3,3,3,3,3,10,8,18,5,4,9
38,3,3,4,3,2,3,5,4,9,2,2,4
39,3,3,3,4,2,3,7,6,13,2,4,6
40,3,3,4,4,2,3,9,7,16,3,4,7
41,5,3,4,3,2,4,10,9,19,2,8,10
42,2,4,4,3,4,3,7,5,12,3,3,6
43,2,3,3,4,4,3,6,7,13,1,5,6
44,2,3,2,3,3,3,5,4,9,1,3,4
45,2,3,2,3,3,3,5,4,9,1,3,4
46,3,3,2,3,2,3,5,4,9,1,3,4
47,5,4,4,3,2,3,5,5,10,2,3,5
48,2,3,5,3,2,3,6,5,11,2,3,5
49,4,4,3,3,3,3,5,5,10,0,5,5
50,2,3,3,3,3,3,6,6,12,2,4,6
51,3,3,2,3,2,4,3,2,5,0,2,2
52,4,3,3,3,5,3,6,6,12,1,5,6
53,5,3,2,4,2,3,7,6,13,2,4,6
54,3,4,4,3,3,3,7,8,15,3,4,7
55,2,3,4,4,3,3,6,4,10,2,3,5
56,5,3,3,3,2,3,6,5,11,3,2,5
57,3,3,4,4,3,3,6,7,13,1,5,6
58,3,4,3,3,4,3,7,5,12,2,4,6
59,2,3,6,3,3,4,6,5,11,1,4,5
60,2,3,2,4,4,4,6,5,11,2,3,5
61,2,5,3,3,4,3,7,6,13,4,2,6
62,3,3,3,3,2,3,5,4,9,1,3,4
63,3,3,3,3,2,3,6,5,11,1,4,5
64,3,3,3,3,5,3,4,3,7,1,2,3
65,4,3,3,3,2,3,5,5,10,0,5,5
66,2,3,2,4,5,3,7,6,13,3,3,6
67,2,3,5,3,4,3,8,5,13,2,4,6
68,3,3,3,3,4,3,7,6,13,1,5,6
69,3,3,2,3,3,4,7,6,13,3,3,6
70,4,3,3,3,3,3,6,7,13,1,5,6
71,3,3,4,3,3,3,4,3,7,1,2,3
72,2,4,2,3,4,3,5,4,9,1,3,4
73,2,3,3,3,4,3,6,5,11,3,2,5
74,2,3,3,3,4,3,7,6,13,4,2,6
75,3,3,2,4,4,3,10,6,16,4,4,8
76,3,3,3,3,2,3,5,4,9,2,2,4
77,2,4,4,4,3,3,5,4,9,1,3,4
78,3,3,3,4,2,3,5,4,9,2,2,4
79,3,3,3,3,3,3,5,4,9,1,3,4
80,3,4,2,3,2,4,3,2,5,0,2,2
81,2,3,2,3,2,4,3,2,5,0,2,2
82,3,3,2,3,5,3,6,6,12,1,5,6
83,3,4,3,3,4,3,8,7,15,1,6,7
84,3,3,3,3,3,4,7,9,16,2,6,8
85,2,4,3,3,3,3,7,7,14,2,5,7
86,2,3,2,3,2,4,3,2,5,0,2,2
87,3,4,3,3,3,3,6,5,11,1,4,5
88,2,3,2,4,3,3,6,5,11,1,4,5
89,2,3,2,3,3,3,5,4,9,0,4,4
90,2,4,4,3,3,3,6,5,11,0,5,5
91,4,3,2,3,2,4,8,7,15,0,7,7
92,2,4,2,3,4,3,7,6,13,2,4,6
93,3,4,2,3,3,4,3,2,5,0,2,2
94,5,3,2,3,3,3,5,4,9,0,4,4
95,2,3,2,4,5,3,6,5,11,1,4,5
96,3,3,3,3,2,3,7,5,12,2,4,6
97,3,3,4,3,2,4,10,6,16,4,4,8
98,4,3,3,4,2,3,6,7,13,3,4,7
99,3,3,3,3,4,3,7,6,13,0,6,6
