,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,5,3,4,4,5,4,58,58,116,32,34,66
1,4,3,4,4,4,6,30,25,55,17,14,31
2,3,5,4,4,5,4,41,40,81,24,23,47
3,4,5,4,4,5,4,46,48,94,28,28,56
4,4,5,5,3,3,5,49,50,99,28,30,58
5,3,4,3,4,6,5,38,36,74,20,21,41
6,4,4,4,5,4,3,55,52,107,28,28,56
7,4,4,3,4,3,3,16,15,31,7,8,15
8,3,3,4,5,5,4,62,60,122,33,30,63
9,5,3,4,3,3,5,70,71,141,46,31,77
10,3,5,3,5,4,4,41,42,83,20,26,46
11,3,3,5,5,3,5,42,40,82,22,22,44
12,3,4,3,5,4,4,58,57,115,30,30,60
13,5,4,3,4,6,4,56,46,102,34,26,60
14,3,4,5,7,3,4,46,41,87,30,24,54
15,4,4,6,4,4,3,43,40,83,25,22,47
16,5,4,3,4,2,4,31,35,66,17,20,37
17,5,4,5,5,3,4,37,25,62,22,16,38
18,4,5,4,4,2,3,40,37,77,20,22,42
19,4,5,4,5,4,3,22,21,43,11,15,26
20,4,3,3,6,5,6,69,69,138,43,35,78
21,3,4,4,4,5,4,43,44,87,21,29,50
22,3,3,3,4,4,4,44,44,88,25,23,48
23,4,5,3,5,6,3,55,50,105,35,28,63
24,5,4,4,4,3,3,73,74,147,38,40,78
25,6,4,4,4,4,4,39,34,73,22,18,40
26,2,5,5,4,4,4,55,58,113,27,36,63
27,5,5,2,4,4,4,30,27,57,16,17,33
28,5,5,5,3,3,4,49,56,105,27,36,63
29,5,4,3,5,4,3,62,58,120,30,34,64
30,3,5,3,5,4,4,39,38,77,18,22,40
31,3,4,5,5,4,6,49,54,103,23,32,55
32,3,6,6,4,4,3,74,65,139,44,36,80
33,4,4,4,3,4,5,40,39,79,24,21,45
34,5,4,5,5,3,3,32,32,64,15,19,34
35,2,5,5,4,2,4,25,24,49,9,15,24
36,4,3,4,3,3,6,50,50,100,30,29,59
37,4,4,3,3,5,3,49,53,102,24,35,59
38,4,5,5,5,4,4,39,37,76,21,24,45
39,3,5,3,4,5,3,65,66,131,37,41,78
40,4,4,3,5,2,5,45,44,89,20,26,46
41,5,4,4,4,4,4,53,47,100,27,33,60
42,3,3,5,4,5,3,45,41,86,22,22,44
43,4,4,6,4,4,5,26,25,51,12,16,28
44,4,4,2,4,6,3,57,51,108,35,24,59
45,3,4,5,4,5,4,58,58,116,31,31,62
46,5,4,5,3,4,3,59,54,113,31,31,62
47,4,4,4,5,4,4,65,65,130,32,45,77
48,3,4,3,3,3,5,40,39,79,22,22,44
49,4,3,4,4,3,4,46,44,90,25,24,49
50,4,4,3,4,3,4,36,35,71,15,21,36
51,5,4,3,5,4,3,23,28,51,6,21,27
52,4,4,2,4,5,4,48,47,95,22,29,51
53,4,3,4,3,3,5,38,42,80,18,25,43
54,3,4,4,4,3,4,61,57,118,34,32,66
55,6,5,3,5,2,5,40,37,77,20,20,40
56,3,6,5,4,4,4,41,33,74,31,11,42
57,3,6,4,3,6,4,47,40,87,28,20,48
58,3,5,5,3,4,5,40,36,76,21,23,44
59,6,3,5,5,3,3,40,36,76,19,23,42
60,5,4,5,5,5,3,34,38,72,16,26,42
61,5,3,4,3,3,3,19,17,36,9,10,19
62,4,4,4,3,3,3,40,41,81,21,23,44
63,4,4,4,3,6,3,36,49,85,19,27,46
64,4,5,2,5,3,5,32,32,64,20,14,34
65,4,4,5,5,3,4,43,46,89,20,32,52
66,3,4,2,5,6,6,32,30,62,17,15,32
67,3,5,5,4,2,4,45,37,82,22,21,43
68,4,3,3,3,4,3,36,40,76,20,22,42
69,2,5,4,4,4,5,27,27,54,13,15,28
70,5,4,5,4,5,3,19,16,35,7,12,19
71,4,3,4,4,4,5,34,32,66,22,14,36
72,2,3,5,5,6,4,38,38,76,16,21,37
73,4,5,4,3,6,4,46,44,90,26,25,51
74,4,5,3,5,4,4,57,54,111,36,33,69
75,3,3,5,3,2,4,39,38,77,18,21,39
76,2,4,4,5,5,4,33,32,65,17,18,35
77,4,4,4,4,3,3,59,54,113,31,31,62
78,4,4,3,3,5,5,26,34,60,10,22,32
79,4,4,4,3,5,5,40,41,81,22,22,44
80,4,5,3,5,3,5,55,60,115,33,35,68
81,5,4,2,5,5,3,57,56,113,26,39,65
82,5,4,4,5,5,4,34,29,63,19,17,36
83,6,5,4,3,3,4,56,51,107,30,30,60
84,4,4,5,7,4,3,54,44,98,33,26,59
85,4,4,4,4,3,3,45,52,97,14,37,51
86,2,3,5,3,4,6,41,40,81,13,27,40
87,2,4,3,5,4,3,41,38,79,24,16,40
88,3,5,6,4,5,3,56,60,116,30,42,72
89,5,4,3,4,4,7,39,35,74,20,21,41
90,6,4,6,5,3,3,52,49,101,29,24,53
91,3,5,5,4,5,5,49,45,94,27,30,57
92,3,3,2,5,5,5,42,34,76,24,17,41
93,2,3,6,3,3,4,35,34,69,16,18,34
94,2,3,4,5,5,3,34,35,69,18,21,39
95,4,3,3,4,6,4,31,28,59,18,14,32
96,4,3,3,5,2,3,26,23,49,16,9,25
97,5,4,3,4,3,5,43,33,76,24,22,46
98,3,5,3,3,4,4,30,29,59,15,17,32
99,3,3,4,5,5,3,37,34,71,21,19,40
