,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,1,4,1,3,2,3
1,RN002,1,6,2,4,4,2
2,RN003,2,5,1,3,2,4
3,RN004,1,4,1,2,1,5
4,RN005,2,4,1,3,0,4
5,RN006,2,2,2,3,2,4
6,RN007,1,4,3,2,1,5
7,RN008,0,4,4,3,0,3
8,RN009,1,5,0,3,0,5
9,RN010,3,3,1,4,2,4
10,RN011,1,5,2,5,3,2
11,RN012,0,5,0,4,2,4
12,RN013,1,3,2,4,0,3
13,RN014,1,3,0,2,1,2
14,RN015,0,3,3,2,1,3
15,RN016,1,4,1,4,1,2
16,RN017,0,4,2,3,3,5
17,RN018,1,3,2,4,1,4
18,RN019,0,3,2,3,1,4
19,RN020,2,3,2,3,0,2
20,RN021,2,2,1,4,0,6
21,RN022,1,2,1,5,6,3
22,RN023,2,5,3,4,2,4
23,RN024,3,3,0,5,3,4
24,RN025,1,5,2,2,0,4
25,RN026,1,3,0,4,2,3
26,RN027,2,4,3,6,2,3
27,RN028,0,3,1,3,0,4
28,RN029,1,4,1,4,1,2
29,RN030,2,5,2,2,2,5
30,RN031,1,6,1,3,5,2
31,RN032,2,3,1,3,0,4
32,RN033,2,5,3,2,1,2
33,RN034,1,6,3,4,2,4
34,RN035,2,2,2,3,2,5
35,RN036,3,6,1,3,1,4
36,RN037,2,3,1,4,0,4
37,RN038,2,2,2,3,2,4
38,RN039,3,4,1,4,0,4
39,RN040,2,3,4,4,1,4
40,RN041,2,4,2,4,1,4
41,RN042,0,4,2,4,3,3
42,RN043,2,4,2,2,1,7
43,RN044,3,3,1,4,0,3
44,RN045,0,5,0,2,1,2
45,RN046,3,5,2,4,2,3
46,RN047,2,2,2,4,1,3
47,RN048,2,5,0,4,0,4
48,RN049,3,3,0,2,2,4
49,RN050,0,2,1,6,1,3
50,RN051,4,6,3,7,0,2
51,RN052,0,2,0,4,1,3
52,RN053,3,2,1,2,2,3
53,RN054,3,4,1,2,2,4
54,RN055,1,6,0,3,1,5
55,RN056,2,3,1,4,2,5
56,RN057,2,4,3,4,1,5
57,RN058,1,5,1,5,1,4
58,RN059,2,3,2,4,0,2
59,RN060,4,3,1,3,2,3
60,RN061,0,4,2,2,1,3
61,RN062,2,2,2,5,0,6
62,RN063,2,7,0,3,0,3
63,RN064,1,3,3,3,0,5
64,RN065,0,5,2,3,2,3
65,RN066,1,3,3,2,1,5
66,RN067,4,2,1,3,1,4
67,RN068,2,4,0,4,2,3
68,RN069,4,2,1,4,2,2
69,RN070,0,3,1,6,1,3
70,RN071,4,3,1,2,0,3
71,RN072,3,4,3,3,2,3
72,RN073,2,3,0,5,3,2
73,RN074,1,3,1,5,3,3
74,RN075,3,2,0,5,1,4
75,RN076,0,6,2,5,4,3
76,RN077,3,3,0,4,2,2
77,RN078,0,5,0,3,1,6
78,RN079,0,3,1,4,2,3
79,RN080,1,2,4,3,1,2
80,RN081,2,2,0,3,1,4
81,RN082,3,3,1,3,1,5
82,RN083,1,4,2,2,1,6
83,RN084,1,2,4,3,1,5
84,RN085,1,3,1,4,5,3
85,RN086,3,2,3,3,1,2
86,RN087,2,5,1,2,1,3
87,RN088,3,2,0,3,3,3
88,RN089,2,3,2,2,3,2
89,RN090,3,3,3,2,1,3
90,RN091,1,4,1,3,4,2
91,RN092,1,3,2,4,1,5
92,RN093,5,5,2,2,1,2
93,RN094,1,3,0,3,5,3
94,RN095,1,3,1,5,0,3
95,RN096,1,3,2,4,2,3
96,RN097,1,4,1,4,1,2
97,RN098,3,4,1,2,0,3
98,RN099,3,2,3,3,2,4
99,RN100,0,2,1,3,2,4
