,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,2,3,1,3,1,4
1,RN002,2,2,2,2,0,4
2,RN003,1,2,0,4,1,4
3,RN004,1,3,0,4,1,4
4,RN005,1,3,2,3,0,3
5,RN006,1,2,1,2,3,3
6,RN007,1,3,1,3,0,4
7,RN008,0,4,1,2,0,3
8,RN009,1,2,1,3,1,4
9,RN010,1,4,1,3,0,3
10,RN011,0,3,0,3,0,4
11,RN012,1,2,1,4,0,3
12,RN013,0,3,1,2,1,3
13,RN014,3,2,1,2,0,6
14,RN015,0,3,1,4,0,3
15,RN016,1,3,3,3,1,3
16,RN017,2,3,0,3,0,2
17,RN018,3,2,1,4,0,3
18,RN019,2,2,0,4,0,2
19,RN020,1,3,1,3,1,3
20,RN021,1,3,1,2,2,3
21,RN022,1,2,1,3,2,3
22,RN023,0,3,0,3,0,4
23,RN024,1,3,0,3,1,5
24,RN025,2,3,0,4,0,3
25,RN026,3,3,2,2,1,3
26,RN027,0,2,2,3,1,3
27,RN028,2,3,0,2,0,4
28,RN029,1,4,3,2,1,2
29,RN030,1,4,0,3,1,3
30,RN031,1,2,1,2,2,2
31,RN032,1,2,2,3,1,3
32,RN033,0,3,2,4,1,3
33,RN034,0,4,0,4,1,3
34,RN035,3,2,2,3,0,3
35,RN036,0,2,0,5,0,2
36,RN037,1,3,1,3,1,2
37,RN038,1,3,0,3,1,4
38,RN039,1,3,0,5,1,3
39,RN040,0,3,0,3,2,3
40,RN041,1,3,1,2,0,2
41,RN042,2,3,2,2,2,2
42,RN043,0,3,2,3,1,4
43,RN044,0,4,2,4,1,3
44,RN045,1,3,0,2,1,5
45,RN046,0,3,1,4,3,2
46,RN047,1,4,3,2,1,3
47,RN048,1,3,0,4,2,2
48,RN049,1,2,0,3,1,2
49,RN050,1,3,1,3,1,2
50,RN051,0,4,0,3,0,3
51,RN052,0,5,0,3,0,4
52,RN053,1,3,0,2,2,3
53,RN054,2,2,1,3,1,2
54,RN055,1,2,2,2,0,3
55,RN056,2,4,1,2,0,2
56,RN057,0,3,0,5,0,4
57,RN058,1,2,0,4,2,4
58,RN059,1,2,0,5,1,3
59,RN060,2,4,0,5,0,3
60,RN061,1,4,0,5,2,3
61,RN062,2,3,0,4,1,2
62,RN063,0,4,1,3,1,2
63,RN064,1,3,2,2,0,6
64,RN065,1,3,0,2,0,3
65,RN066,1,3,0,5,0,3
66,RN067,0,3,0,2,2,4
67,RN068,1,2,3,2,0,2
68,RN069,2,2,0,3,2,2
69,RN070,0,2,0,4,1,3
70,RN071,2,3,2,3,2,3
71,RN072,1,3,2,2,1,3
72,RN073,0,2,1,4,3,3
73,RN074,1,3,2,2,0,6
74,RN075,0,4,1,2,1,3
75,RN076,1,2,3,2,0,2
76,RN077,0,2,1,3,2,3
77,RN078,1,3,1,3,1,2
78,RN079,1,3,1,2,1,4
79,RN080,0,4,2,2,2,3
80,RN081,1,3,1,2,1,2
81,RN082,2,3,0,2,2,3
82,RN083,3,2,0,4,2,3
83,RN084,3,3,1,3,1,2
84,RN085,1,3,2,3,1,3
85,RN086,0,4,0,4,0,3
86,RN087,0,2,1,4,0,4
87,RN088,0,2,1,2,1,3
88,RN089,1,2,1,5,2,3
89,RN090,1,4,0,3,1,3
90,RN091,1,5,2,4,0,3
91,RN092,1,2,3,2,2,3
92,RN093,0,3,0,2,2,3
93,RN094,0,2,1,5,1,2
94,RN095,0,2,0,4,2,3
95,RN096,1,3,1,2,2,4
96,RN097,2,2,0,3,0,2
97,RN098,2,3,0,3,0,3
98,RN099,1,2,1,2,2,2
99,RN100,0,3,1,3,2,3
