,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,2,3,1,4,0,2
1,RN002,0,2,0,2,0,2
2,RN003,0,3,1,2,1,3
3,RN004,0,2,2,3,2,2
4,RN005,0,2,0,3,1,3
5,RN006,2,3,0,4,0,2
6,RN007,2,3,0,2,0,2
7,RN008,1,2,0,2,2,3
8,RN009,1,3,1,3,1,2
9,RN010,0,2,0,2,2,2
10,RN011,1,2,1,4,0,3
11,RN012,0,2,0,2,0,3
12,RN013,0,3,1,2,2,3
13,RN014,0,3,1,2,0,2
14,RN015,0,3,1,2,2,2
15,RN016,1,2,0,3,2,2
16,RN017,2,3,0,3,1,4
17,RN018,2,2,0,2,1,3
18,RN019,0,2,2,3,1,2
19,RN020,0,2,1,3,1,2
20,RN021,0,2,1,4,0,3
21,RN022,0,3,0,3,0,2
22,RN023,1,3,0,2,0,3
23,RN024,0,3,1,2,1,3
24,RN025,2,2,0,2,2,3
25,RN026,1,2,0,2,1,3
26,RN027,0,5,1,3,1,3
27,RN028,0,3,1,2,0,2
28,RN029,1,2,1,4,0,2
29,RN030,1,4,0,2,0,2
30,RN031,1,2,0,4,1,2
31,RN032,0,3,2,2,0,2
32,RN033,1,4,0,4,0,2
33,RN034,2,2,0,2,1,3
34,RN035,0,3,1,3,2,2
35,RN036,1,2,0,3,0,4
36,RN037,0,3,1,2,3,2
37,RN038,0,2,1,4,0,3
38,RN039,2,3,1,3,0,2
39,RN040,0,2,0,2,0,3
40,RN041,0,4,1,3,0,2
41,RN042,1,4,2,2,0,4
42,RN043,0,2,1,2,2,2
43,RN044,1,2,1,2,2,3
44,RN045,0,3,1,3,1,2
45,RN046,0,2,3,2,0,2
46,RN047,1,3,0,2,2,3
47,RN048,0,4,2,3,0,3
48,RN049,0,2,1,4,0,3
49,RN050,1,3,1,4,1,2
50,RN051,1,3,1,2,0,2
51,RN052,1,2,0,2,1,3
52,RN053,0,2,0,2,0,2
53,RN054,1,2,0,3,2,3
54,RN055,2,2,0,3,0,2
55,RN056,1,2,0,4,1,2
56,RN057,1,2,1,2,0,4
57,RN058,2,4,2,2,0,3
58,RN059,1,2,1,2,0,2
59,RN060,0,2,0,2,0,2
60,RN061,0,2,3,2,0,3
61,RN062,0,4,0,3,1,2
62,RN063,1,5,2,2,2,2
63,RN064,1,3,0,3,0,2
64,RN065,0,2,0,3,0,2
65,RN066,1,2,3,3,0,2
66,RN067,0,3,0,2,0,2
67,RN068,0,3,1,3,0,4
68,RN069,1,2,0,4,1,2
69,RN070,0,2,0,3,0,2
70,RN071,2,2,1,3,1,2
71,RN072,1,4,2,3,1,3
72,RN073,0,2,2,2,2,3
73,RN074,1,2,0,4,0,3
74,RN075,0,2,0,2,1,3
75,RN076,1,4,0,3,0,2
76,RN077,1,2,0,3,0,3
77,RN078,0,2,0,3,0,3
78,RN079,0,4,0,3,0,3
79,RN080,1,2,2,2,0,2
80,RN081,2,2,0,2,0,3
81,RN082,1,2,1,4,0,3
82,RN083,0,3,1,2,0,3
83,RN084,0,4,1,2,3,2
84,RN085,0,2,0,3,1,2
85,RN086,0,3,1,3,1,3
86,RN087,0,2,0,3,0,4
87,RN088,0,2,1,3,1,2
88,RN089,1,2,0,4,0,3
89,RN090,1,2,2,2,3,4
90,RN091,0,3,0,2,1,2
91,RN092,0,2,0,2,1,2
92,RN093,2,3,0,3,1,2
93,RN094,2,2,1,2,1,2
94,RN095,0,2,1,3,1,2
95,RN096,0,3,1,2,0,2
96,RN097,2,2,1,2,0,2
97,RN098,1,4,1,2,0,3
98,RN099,0,2,0,3,2,3
99,RN100,0,2,0,2,0,2
