,RN,BC A,STD A,BC B,STD B,BC C,STD C
0,RN001,0.3943423327359879,0.0014152062119529157,0.45255625336146826,0.003687972689921204,0.3501262984436638,0.0059796688506395905
1,RN002,0.3438398574915238,0.002087364412125198,0.3716563465137927,0.002322968670765779,0.359075003155074,0.00747235646480266
2,RN003,0.32011714834355937,0.007161882776690594,0.41929377745057533,0.005185531456785493,0.4261295255402256,0.0025050305231694566
3,RN004,0.4315892029648123,0.002239121352656202,0.34169951987602,0.0025572853031722415,0.4451135523210849,0.0038812447834101547
4,RN005,0.4290750107236179,0.006850335261354099,0.3462585660236046,0.0033469949443310125,0.3245208996378682,0.002361479621410131
5,RN006,0.4813136310845499,0.0034216660503659127,0.3765933640682177,0.0012375664520040677,0.5211048594498702,0.006288778669437529
6,RN007,0.35439757996022947,0.002266207314031575,0.5006445515658913,0.001151688941756207,0.4186732974453739,0.0028124176370489555
7,RN008,0.37754792879735777,0.002113826882390402,0.4112309220254577,0.003934989749201732,0.28702068975733075,0.00717181871128447
8,RN009,0.3366645187284088,0.005074272003773665,0.4914291929901511,0.0033007642324553764,0.3903082982041801,0.0052880036930922445
9,RN010,0.34991992110843556,0.005415504577721168,0.3178472127150548,0.0020948913411754184,0.3254001919567684,0.007023926716746808
10,RN011,0.4649559494852569,0.0030775163075204308,0.43789031220002955,0.0017349791893584402,0.31398375241313475,0.006852912622003452
11,RN012,0.3345947222036032,0.005327706473325358,0.35031872945980186,0.003817236234383032,0.32071556117561206,0.0056800956496328055
12,RN013,0.3624343948533484,0.0006538197027353182,0.4551747542461921,0.002910283474845367,0.4275762640229453,0.005375030327783534
13,RN014,0.36407747936765994,0.0049318133983417296,0.4040502189537654,0.004685073698445546,0.44031842203596955,0.0020548853221734956
14,RN015,0.3898151556187511,0.006843209118530897,0.3914755474191523,0.002871910028735207,0.3491508098216299,0.004953931892331641
15,RN016,0.3994791436128491,0.0037122532487655533,0.3398996957941282,0.004275712465094179,0.34071498678150847,0.004465897711861508
16,RN017,0.418726446313369,0.0011152365678284214,0.3817639707311174,0.00727315836489764,0.5494853668413419,0.007324713947942862
17,RN018,0.4319838191860071,0.0005889040300370027,0.2773339673146477,0.002013474471695409,0.41352329666085924,0.002221822863795726
18,RN019,0.3991006389139058,0.006556033194515245,0.3646963205569764,0.01152587024306306,0.45583205828025575,0.006020327642688133
19,RN020,0.4170343877150182,0.0017510863298262251,0.44086526236987483,0.005921909813010479,0.41350093841337004,0.004776374695717268
20,RN021,0.35273323654544697,0.004127562780048363,0.3834210904515854,0.003417842232116234,0.44177867625126926,0.003594828024704587
21,RN022,0.43212564349252663,0.0035615593004638597,0.31889380011654106,0.005711804267867929,0.40651259400698914,0.0026565065158970667
22,RN023,0.3765287277778932,0.0036968937118921825,0.3007741158574191,0.008463409966065606,0.3724162798463941,0.003361309966653502
23,RN024,0.42080406272116117,0.00582849076585383,0.49150380053660503,0.003186678882511498,0.4559151097338243,0.0008907949801063316
24,RN025,0.40208401605812966,0.003170297016572018,0.35986224215078594,0.0052069568464116105,0.428065639846772,0.0043157957055988405
25,RN026,0.45090426041369464,0.0017025719313636936,0.2952397117786976,0.003082402062638201,0.4208004319864223,0.0036083162376638403
26,RN027,0.40623091187978017,0.0026041995191496505,0.3716254948828525,0.0052608235252202765,0.3484247807036092,0.005389609115131807
